role;name;team;partite_valide;media_voto;fanta_media;goal_fatti;goal_subiti;rigori_parati;rigori_totali;rigori_segnati;rigori_sbagliati;assist;ammonizioni;espulsioni;autogoal;stagione;migliore;anno_finale
C;Tchatchoua;Verona;25;5.76;5.76;0;0;0;0;0;0;1;2;0.0;0.0;2023-2024;0;2024
C;Grassi;Empoli;26;5.92;5.77;0;0;0;0;0;0;1;4;1.0;1.0;2023-2024;0;2024
C;Aramu;Genoa;0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;2023-2024;0;2024
C;Renato Sanches;Roma;5;5.8;6.2;1;0;0;0;0;0;0;2;0.0;0.0;2023-2024;0;2024
C;Fagioli;Juventus;8;6.06;6.25;0;0;0;0;0;0;2;1;0.0;0.0;2023-2024;0;2024
C;Akpa Akpro;Monza;14;5.82;5.64;0;0;0;0;0;0;0;5;0.0;0.0;2023-2024;0;2024
C;Zalewski;Roma;22;5.8;5.77;0;0;0;0;0;0;1;1;1.0;0.0;2023-2024;0;2024
C;Miretti;Juventus;20;5.78;5.9;1;0;0;0;0;0;1;3;0.0;0.0;2023-2024;0;2024
C;Marcos Antonio;Lazio;0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;2023-2024;0;2024
C;Ciurria;Monza;22;5.86;5.86;0;0;0;0;0;0;1;2;0.0;0.0;2023-2024;0;2024
C;Ranocchia F.;Empoli;9;5.89;5.72;0;0;0;0;0;0;0;3;0.0;0.0;2023-2024;0;2024
C;Mboula;Verona;7;5.71;5.86;0;0;0;0;0;0;1;0;0.0;0.0;2023-2024;0;2024
C;Makoumbou;Cagliari;32;5.62;5.61;1;0;0;0;0;0;0;3;2.0;0.0;2023-2024;0;2024
C;Gelli;Frosinone;20;5.85;5.78;0;0;0;0;0;0;0;3;0.0;0.0;2023-2024;0;2024
C;Cajuste;Napoli;22;5.8;5.68;0;0;0;0;0;0;1;7;0.0;0.0;2023-2024;0;2024
C;Legowski;Salernitana;23;5.72;5.65;0;0;0;0;0;0;0;3;0.0;0.0;2023-2024;0;2024
C;Kutlu;Genoa;6;6.0;6.0;0;0;0;0;0;0;0;0;0.0;0.0;2023-2024;0;2024
C;Ibrahimovic A.;Frosinone;8;6.06;6.5;1;0;0;0;0;0;1;1;0.0;0.0;2023-2024;0;2024
C;Dani Silva;Verona;9;5.83;5.72;0;0;0;0;0;0;0;2;0.0;0.0;2023-2024;0;2024
C;Krunic;Milan;9;5.89;5.72;0;0;0;0;0;0;0;3;0.0;0.0;2023-2024;0;2024
C;Sensi;Inter;1;6.5;6.5;0;0;0;0;0;0;0;0;0.0;0.0;2023-2024;0;2024
C;Haas;Empoli;1;5.5;5.0;0;0;0;0;0;0;0;1;0.0;0.0;2023-2024;0;2024
C;Klaassen;Inter;6;6.0;6.0;0;0;0;0;0;0;0;1;0.0;0.0;2023-2024;0;2024
C;Henderson L.;Empoli;0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;2023-2024;0;2024
C;Lopez M.;Fiorentina;16;5.75;5.66;0;0;0;0;0;0;0;1;1.0;0.0;2023-2024;0;2024
C;Kourfalidis;Cagliari;0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;2023-2024;0;2024
C;Bohinen;Genoa;14;5.86;5.82;0;0;0;0;0;0;0;1;0.0;0.0;2023-2024;0;2024
C;Vignato S.;Monza;8;6.0;6.25;1;0;0;0;0;0;0;2;0.0;0.0;2023-2024;0;2024
C;Lindstrom;Napoli;16;5.91;5.84;0;0;0;0;0;0;0;2;0.0;0.0;2023-2024;0;2024
C;Gineitis;Torino;10;6.05;5.95;0;0;0;0;0;0;0;2;0.0;0.0;2023-2024;0;2024
C;Lipani;Sassuolo;7;6.0;6.0;0;0;0;0;0;0;0;0;0.0;0.0;2023-2024;0;2024
C;Kaba;Lecce;22;5.82;5.73;0;0;0;0;0;0;0;2;1.0;0.0;2023-2024;0;2024
C;Martegani;Salernitana;15;5.83;6.0;1;0;0;0;0;0;0;1;0.0;0.0;2023-2024;0;2024
C;Lulic K.;Frosinone;1;6.0;6.0;0;0;0;0;0;0;0;0;0.0;0.0;2023-2024;0;2024
C;Baez;Frosinone;10;6.0;6.25;1;0;0;0;0;0;0;1;0.0;0.0;2023-2024;0;2024
C;Coulibaly M.;Salernitana;0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;2023-2024;0;2024
