role;name;team;partite_valide;media_voto;fanta_media;goal_fatti;goal_subiti;rigori_parati;rigori_totali;rigori_segnati;rigori_sbagliati;assist;ammonizioni;espulsioni;autogoal;stagione;migliore
C;Magnanelli;Sassuolo;7;5.64;5.5;0;0;0;0;0;0;0;2;0.0;0.0;2020-2021;0
C;Benassi;Verona;0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;2020-2021;0
C;Badu;Verona;0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;2020-2021;0
C;Parigini;Genoa;1;6.0;6.0;0;0;0;0;0;0;0;0;0.0;0.0;2020-2021;0
C;Cristoforo;Fiorentina;0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;2020-2021;0
C;Kiyine;Lazio;0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;2020-2021;0
C;Coulibaly M.;Udinese;2;6.0;6.0;0;0;0;0;0;0;0;0;0.0;0.0;2020-2021;0
C;Del Pinto;Benevento;0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;2020-2021;0
C;Mora;Spezia;2;5.75;5.75;0;0;0;0;0;0;0;0;0.0;0.0;2020-2021;0
C;Crociata;Crotone;2;5.75;5.75;0;0;0;0;0;0;0;0;0.0;0.0;2020-2021;0
C;Cyprien;Parma;10;5.7;5.6;0;0;0;0;0;0;0;2;0.0;0.0;2020-2021;0
C;Caligara;Cagliari;6;5.58;5.42;0;0;0;0;0;0;0;2;0.0;0.0;2020-2021;0
C;Sanogo;Benevento;0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;2020-2021;0
C;Scozzarella;Parma;3;5.5;5.33;0;0;0;0;0;0;0;1;0.0;0.0;2020-2021;0
C;Kingsley;Bologna;0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;2020-2021;0
C;Riccardi;Roma;0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;2020-2021;0
C;Vieira;Verona;4;5.62;5.5;0;0;0;0;0;0;0;1;0.0;0.0;2020-2021;0
C;Nicolussi Caviglia;Parma;0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;2020-2021;0
C;Montiel;Fiorentina;0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;2020-2021;0
C;Fagioli;Juventus;1;6.0;6.0;0;0;0;0;0;0;0;0;0.0;0.0;2020-2021;0
C;Schone;Genoa;0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;2020-2021;0
C;Maldini;Milan;0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;2020-2021;0
C;Baldursson;Bologna;5;5.7;5.5;0;0;0;0;0;0;0;2;0.0;0.0;2020-2021;0
C;Ladinetti;Cagliari;0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;2020-2021;0
C;Palumbo;Udinese;1;5.0;5.0;0;0;0;0;0;0;0;0;0.0;0.0;2020-2021;0
C;Gomelt;Crotone;1;6.0;6.0;0;0;0;0;0;0;0;0;0.0;0.0;2020-2021;0
C;Mustacchio;Crotone;0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;2020-2021;0
C;Acampora;Spezia;9;5.94;5.83;0;0;0;0;0;0;0;2;0.0;0.0;2020-2021;0
C;Mastinu;Spezia;1;5.5;5.5;0;0;0;0;0;0;0;0;0.0;0.0;2020-2021;0
C;Basit;Benevento;0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;2020-2021;0
C;Eyango;Genoa;1;6.5;7.5;0;0;0;0;0;0;1;0;0.0;0.0;2020-2021;0
C;Camara D.;Parma;0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;2020-2021;0
C;Bove;Roma;0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;2020-2021;0
C;Urbanski;Bologna;0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;2020-2021;0
C;Kosznovszky;Parma;1;5.0;5.0;0;0;0;0;0;0;0;0;0.0;0.0;2020-2021;0
